incluir;productCode;categoria;titulo;rating;reviews;price;score;viatorUrl
x;3072LASVTH;shows;V - The Ultimate Variety Show at Planet Hollywood Resort and Casino;4.388527;767;35.1;4.404;https://www.viator.com/tours/Las-Vegas/V-The-Ultimate-Variety-Show-at-Planet-Hollywood-Resort-and-Casino/d684-3072LASVTH?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5156LASKA;shows;KÀ™ by Cirque du Soleil® at the MGM Grand Hotel and Casino;4.358333;840;95.25;4.375;https://www.viator.com/tours/Las-Vegas/KA-by-Cirque-du-Soleil-at-the-MGM-Grand-Hotel-and-Casino/d684-5156LASKA?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;9412P2;shows;LA Comedy Club at The STRAT Hotel and Casino;4.290566;265;47.91;4.347;https://www.viator.com/tours/Las-Vegas/LA-Comedy-Club-at-the-Stratosphere-Hotel-and-Casino/d684-9412P2?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;61034P38;shows;Sinatra Live! Frank Sinatra Tribute Show in Las Vegas;4.223077;130;44.95;4.341;https://www.viator.com/tours/Las-Vegas/Frankly-Frank/d684-61034P38?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5156LASBEE;shows;The Australian Bee Gees Show at the Excalibur Hotel and Casino;4.274194;248;41.83;4.337;https://www.viator.com/tours/Las-Vegas/The-Australian-Bee-Gees-Show-A-Tribute-to-the-Bee-Gees-at-the-Excalibur-Hotel-and-Casino/d684-5156LASBEE?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;44350P1;shows;Magic Mike Live Las Vegas at SAHARA Las Vegas;4.2606835;234;82.67;4.329;https://www.viator.com/tours/Las-Vegas/Magic-Mike-Live-at-SAHARA-Las-Vegas/d684-44350P1?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;6920LASPUR;shows;Purple Reign: The Prince Tribute Show at Planet Hollywood;4.283582;402;54.19;4.324;https://www.viator.com/tours/Las-Vegas/Purple-Reign-The-Prince-Tribute-Show-at-Planet-Hollywood-in-Las-Vegas/d684-6920LASPUR?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5156LASO;shows;O™ by Cirque du Soleil® at the Bellagio Hotel and Casino;4.3082705;1463;160.3;4.319;https://www.viator.com/tours/Las-Vegas/O-by-Cirque-du-Soleil-at-the-Bellagio-Hotel-and-Casino/d684-5156LASO?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;9412P14;shows;Rouge: The Sexiest Show in Vegas at the STRAT Hotel and Casino;4.2599277;277;83.2;4.319;https://www.viator.com/tours/Las-Vegas/ROUGE-The-Sexiest-Show-in-Vegas/d684-9412P14?mcid=42383&pid=P00140156&medium=api&api_version=2.0
x;5156P11;shows;Mad Apple by Cirque du Soleil at New York New York Hotel and Casino;4.2244654;842;74.27;4.248;https://www.viator.com/tours/Las-Vegas/Mad-Apple-by-Cirque-dui-Soleil-at-New-York-New-York-Hotel-and-Casino/d684-5156P11?mcid=42383&pid=P00140156&medium=api&api_version=2.0
